timestamp,market_cap,total_coins,avg_price,realized_price,mvrv_ratio,high,low,close
2024-04-19,1260632478631.25,19687231.25,64033.0,43486.78,1.4725,65481.6,59651.39,63843.57
2024-04-21,1274773658165.62,19687928.12,64749.0,43677.22,1.4824,65723.24,64277.72,64926.64
2024-04-22,1301192037331.25,19688481.25,66089.0,43877.27,1.5062,67233.96,64548.18,66837.68
2024-04-23,1306525357793.75,19689040.62,66358.0,44078.84,1.5054,67199.24,65864.87,66407.27
2024-04-24,1302171282656.25,19689593.75,66135.0,44278.84,1.4936,67075.37,63589.87,64276.9
2024-04-25,1274760001150.0,19690150.0,64741.0,44472.06,1.4558,65275.21,62783.63,64481.71
2024-04-27,1245043158593.75,19690703.12,63230.0,44651.26,1.4161,63898.36,62424.72,63419.14
2024-04-28,1259629971056.25,19691256.25,63969.0,44840.36,1.4266,64321.48,62793.6,63113.23
2024-04-29,1239737439562.5,19691812.5,62957.0,45025.92,1.3982,64174.88,61795.46,63841.12
2024-04-30,1186622756137.5,19692368.75,60258.0,45197.9,1.3332,64703.33,59120.07,60636.86
2024-05-02,1134725851359.38,19692921.88,57621.0,45356.1,1.2704,59602.3,56937.2,59123.43
2024-05-03,1192656728728.12,19693478.12,60561.0,45530.16,1.3301,63320.5,58848.31,62889.84
2024-05-04,1252146506875.0,19694031.25,63580.0,45719.2,1.3907,64494.96,62599.35,63891.47
2024-05-06,1267740396218.75,19694584.38,64370.0,45909.62,1.4021,65494.9,62746.24,63161.95
2024-05-07,1246743572212.5,19695168.75,63302.0,46096.86,1.3732,64390.46,62285.98,62334.82
2024-05-09,1212823161618.75,19695721.88,61578.0,46275.88,1.3307,63404.91,60648.07,63049.96
2024-05-10,1237773206209.38,19696278.12,62843.0,46464.9,1.3525,63446.74,60208.78,60792.78
2024-05-11,1198946118187.5,19696831.25,60870.0,46639.75,1.3051,61451.15,60492.62,60793.71
2024-05-12,1211469466200.0,19697409.38,61504.0,46816.14,1.3137,61818.16,60632.6,61448.39
2024-05-13,1240577875062.5,19697965.62,62980.0,46997.92,1.3401,63422.66,60769.84,62901.45
2024-05-15,1222844646962.5,19698518.75,62078.0,47175.46,1.3159,66454.45,61330.41,66267.49
2024-05-16,1302680750634.38,19699084.38,66129.0,47373.26,1.3959,66712.43,64613.05,65231.58
2024-05-17,1324505547531.25,19699643.75,67235.0,47573.4,1.4133,67459.46,65119.32,67051.88
2024-05-19,1320110611406.25,19700203.12,67010.0,47772.56,1.4027,67694.3,65937.18,66278.37
2024-05-20,1323241114837.5,19700762.5,67167.0,47972.67,1.4001,71483.56,66086.17,71448.2
2024-05-21,1398281175168.75,19701315.62,70974.0,48194.31,1.4727,71946.46,69191.12,70136.53
2024-05-22,1369851884153.12,19701878.12,69529.0,48408.93,1.4363,70623.7,68977.7,69122.34
2024-05-23,1322861268443.75,19702440.62,67142.0,48611.59,1.3812,70041.27,66356.95,67929.56
2024-05-24,1361063752871.88,19703003.12,69079.0,48825.36,1.4148,69220.3,66622.67,68526.1
2024-05-25,1362540321800.0,19703556.25,69152.0,49039.78,1.4101,69579.32,68515.82,69265.95
2024-05-26,1350086594393.75,19704115.62,68518.0,49250.14,1.3912,69506.23,68183.89,68518.09
2024-05-28,1354105051250.0,19704671.88,68720.0,49459.1,1.3894,69514.64,67227.16,68296.22
2024-05-29,1331403443493.75,19705228.12,67566.0,49661.51,1.3605,68852.46,67101.49,67578.09
2024-05-31,1351461889687.5,19705781.25,68582.0,49864.3,1.3754,68999.56,66633.42,67491.41
2024-06-01,1334138543521.88,19706334.38,67701.0,50064.63,1.3523,67839.77,67386.2,67706.94
2024-06-02,1343832365512.5,19706887.5,68191.0,50268.0,1.3565,68409.16,67315.52,67751.6
2024-06-03,1363735183809.38,19707440.62,69199.0,50476.58,1.3709,70230.82,67589.84,68804.78
2024-06-05,1390261223553.12,19707996.88,70543.0,50689.66,1.3917,71735.41,70390.71,71082.82
2024-06-06,1403189634350.0,19708550.0,71197.0,50906.05,1.3986,71625.73,70119.12,70757.16
2024-06-07,1402874251334.38,19709103.12,71179.0,51122.22,1.3923,71907.85,68507.26,69342.59
2024-06-08,1369407206593.75,19709656.25,69479.0,51331.2,1.3535,69533.32,69210.74,69305.77
2024-06-09,1373545360715.62,19710209.38,69687.0,51544.16,1.352,69817.52,69160.84,69647.99
2024-06-11,1338971807387.5,19710762.5,67931.0,51749.99,1.3127,69549.41,66123.6,67332.03
2024-06-12,1338398330937.5,19711315.62,67900.0,51955.69,1.3069,69977.89,66902.45,68241.19
2024-06-13,1317955465434.38,19711871.88,66861.0,52155.49,1.282,68365.78,66304.56,66756.4
2024-06-15,1305790663856.25,19712428.12,66242.0,52351.28,1.2653,66402.19,65871.77,66191.0
2024-06-16,1306320335578.12,19712984.38,66267.0,52540.74,1.2612,66894.84,66018.25,66639.05
2024-06-17,1299910662750.0,19713537.5,65940.0,52727.48,1.2506,67188.32,65094.96,66490.3
2024-06-18,1274476732750.0,19714093.75,64648.0,52908.6,1.2219,66556.7,64066.96,65140.75
